"","country","continent","year","lifeExp","pop","gdpPercap"
"1","Reunion","Africa",2007,76.442,798094,7670.122558
"2","Reunion","Africa",2002,75.744,743981,6316.1652
"3","Reunion","Africa",1997,74.772,684810,6071.941411
"4","Libya","Africa",2007,73.952,6036914,12057.49928
"5","Tunisia","Africa",2007,73.923,10276158,7092.923025
"6","Reunion","Africa",1992,73.615,622191,6101.255823
"7","Tunisia","Africa",2002,73.042,9770575,5722.895655
"8","Mauritius","Africa",2007,72.801,1250882,10956.99112
"9","Libya","Africa",2002,72.737,5368585,9534.677467
"10","Algeria","Africa",2007,72.301,33333216,6223.367465
"11","Tunisia","Africa",1997,71.973,9231669,4876.798614
"12","Mauritius","Africa",2002,71.954,1200206,9021.815894
"13","Reunion","Africa",1987,71.913,562035,5303.377488
"14","Libya","Africa",1997,71.555,4759670,9467.446056
"15","Egypt","Africa",2007,71.338,80264543,5581.180998
"16","Morocco","Africa",2007,71.164,33757175,3820.17523
"17","Algeria","Africa",2002,70.994,31287142,5288.040382
"18","Mauritius","Africa",1997,70.736,1149818,7425.705295
"19","Tunisia","Africa",1992,70.001,8523077,4332.720164
"20","Reunion","Africa",1982,69.885,517810,5267.219353
"21","Egypt","Africa",2002,69.806,73312559,4754.604414
"22","Mauritius","Africa",1992,69.745,1096202,6058.253846
"23","Morocco","Africa",2002,69.615,31167783,3258.495584
"24","Algeria","Africa",1997,69.152,29072015,4797.295051
"25","Libya","Africa",1992,68.755,4364501,9640.138501
"26","Mauritius","Africa",1987,68.74,1042663,4783.586903
"27","Algeria","Africa",1992,67.744,26298373,5023.216647
"28","Morocco","Africa",1997,67.66,28529501,2982.101858
"29","Egypt","Africa",1997,67.217,66134291,4173.181797
"30","Reunion","Africa",1977,67.064,492095,4319.804067
"31","Tunisia","Africa",1987,66.894,7724976,3810.419296
"32","Mauritius","Africa",1982,66.711,992040,3688.037739
"33","Libya","Africa",1987,66.234,3799845,11770.5898
"34","Algeria","Africa",1987,65.799,23254956,5681.358539
"35","Sao Tome and Principe","Africa",2007,65.528,199579,1598.435089
"36","Morocco","Africa",1992,65.393,25798239,2948.047252
"37","Comoros","Africa",2007,65.152,710960,986.1478792
"38","Mauritius","Africa",1977,64.93,913025,3710.982963
"39","Sao Tome and Principe","Africa",2002,64.337,170372,1353.09239
"40","Reunion","Africa",1972,64.274,461633,5047.658563
"41","Mauritania","Africa",2007,64.164,3270065,1803.151496
"42","Tunisia","Africa",1982,64.048,6734098,3560.233174
"43","Egypt","Africa",1992,63.674,59402198,3794.755195
"44","Botswana","Africa",1987,63.622,1151184,6205.88385
"45","Sao Tome and Principe","Africa",1997,63.306,145608,1339.076036
"46","Senegal","Africa",2007,63.062,12267493,1712.472136
