"","continent","country","lifeExp","year"
"1","Asia","Afghanistan",28.801,1952
"2","Asia","Afghanistan",30.332,1957
"3","Asia","Afghanistan",31.997,1962
"4","Asia","Afghanistan",34.02,1967
"5","Asia","Afghanistan",36.088,1972
"6","Asia","Afghanistan",38.438,1977
"7","Asia","Afghanistan",39.854,1982
"8","Asia","Afghanistan",40.822,1987
"9","Asia","Afghanistan",41.674,1992
"10","Asia","Afghanistan",41.763,1997
"11","Asia","Afghanistan",42.129,2002
"12","Asia","Afghanistan",43.828,2007
"13","Europe","Albania",55.23,1952
"14","Europe","Albania",59.28,1957
"15","Europe","Albania",64.82,1962
"16","Europe","Albania",66.22,1967
"17","Europe","Albania",67.69,1972
"18","Europe","Albania",68.93,1977
"19","Europe","Albania",70.42,1982
"20","Europe","Albania",72,1987
"21","Europe","Albania",71.581,1992
"22","Europe","Albania",72.95,1997
"23","Europe","Albania",75.651,2002
"24","Europe","Albania",76.423,2007
"25","Africa","Algeria",43.077,1952
"26","Africa","Algeria",45.685,1957
"27","Africa","Algeria",48.303,1962
"28","Africa","Algeria",51.407,1967
"29","Africa","Algeria",54.518,1972
"30","Africa","Algeria",58.014,1977
"31","Africa","Algeria",61.368,1982
"32","Africa","Algeria",65.799,1987
"33","Africa","Algeria",67.744,1992
"34","Africa","Algeria",69.152,1997
"35","Africa","Algeria",70.994,2002
"36","Africa","Algeria",72.301,2007
"37","Africa","Angola",30.015,1952
"38","Africa","Angola",31.999,1957
"39","Africa","Angola",34,1962
"40","Africa","Angola",35.985,1967
"41","Africa","Angola",37.928,1972
"42","Africa","Angola",39.483,1977
"43","Africa","Angola",39.942,1982
"44","Africa","Angola",39.906,1987
"45","Africa","Angola",40.647,1992
"46","Africa","Angola",40.963,1997
"47","Africa","Angola",41.003,2002
"48","Africa","Angola",42.731,2007
"49","Americas","Argentina",62.485,1952
"50","Americas","Argentina",64.399,1957
"51","Americas","Argentina",65.142,1962
"52","Americas","Argentina",65.634,1967
"53","Americas","Argentina",67.065,1972
"54","Americas","Argentina",68.481,1977
"55","Americas","Argentina",69.942,1982
"56","Americas","Argentina",70.774,1987
"57","Americas","Argentina",71.868,1992
"58","Americas","Argentina",73.275,1997
"59","Americas","Argentina",74.34,2002
"60","Americas","Argentina",75.32,2007
"61","Oceania","Australia",69.12,1952
"62","Oceania","Australia",70.33,1957
"63","Oceania","Australia",70.93,1962
"64","Oceania","Australia",71.1,1967
"65","Oceania","Australia",71.93,1972
"66","Oceania","Australia",73.49,1977
"67","Oceania","Australia",74.74,1982
"68","Oceania","Australia",76.32,1987
"69","Oceania","Australia",77.56,1992
"70","Oceania","Australia",78.83,1997
"71","Oceania","Australia",80.37,2002
"72","Oceania","Australia",81.235,2007
"73","Europe","Austria",66.8,1952
"74","Europe","Austria",67.48,1957
"75","Europe","Austria",69.54,1962
"76","Europe","Austria",70.14,1967
"77","Europe","Austria",70.63,1972
"78","Europe","Austria",72.17,1977
"79","Europe","Austria",73.18,1982
"80","Europe","Austria",74.94,1987
"81","Europe","Austria",76.04,1992
"82","Europe","Austria",77.51,1997
"83","Europe","Austria",78.98,2002
"84","Europe","Austria",79.829,2007
"85","Asia","Bahrain",50.939,1952
"86","Asia","Bahrain",53.832,1957
"87","Asia","Bahrain",56.923,1962
"88","Asia","Bahrain",59.923,1967
"89","Asia","Bahrain",63.3,1972
"90","Asia","Bahrain",65.593,1977
"91","Asia","Bahrain",69.052,1982
"92","Asia","Bahrain",70.75,1987
"93","Asia","Bahrain",72.601,1992
"94","Asia","Bahrain",73.925,1997
"95","Asia","Bahrain",74.795,2002
"96","Asia","Bahrain",75.635,2007
"97","Asia","Bangladesh",37.484,1952
"98","Asia","Bangladesh",39.348,1957
"99","Asia","Bangladesh",41.216,1962
"100","Asia","Bangladesh",43.453,1967
"101","Asia","Bangladesh",45.252,1972
"102","Asia","Bangladesh",46.923,1977
"103","Asia","Bangladesh",50.009,1982
"104","Asia","Bangladesh",52.819,1987
"105","Asia","Bangladesh",56.018,1992
"106","Asia","Bangladesh",59.412,1997
"107","Asia","Bangladesh",62.013,2002
"108","Asia","Bangladesh",64.062,2007
"109","Europe","Belgium",68,1952
"110","Europe","Belgium",69.24,1957
"111","Europe","Belgium",70.25,1962
"112","Europe","Belgium",70.94,1967
"113","Europe","Belgium",71.44,1972
"114","Europe","Belgium",72.8,1977
"115","Europe","Belgium",73.93,1982
