"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",-607.647793474419,10.0114478351268,-60.6952963728572,0
"2","year",0.325903827637154,0.00503048172912071,64.7858088322922,0
"3","countryAlbania",30.9540833333399,1.46324195844229,21.1544530655015,1.54135020423917e-87
"4","countryAlgeria",21.5513333333384,1.46324195844223,14.7284823326703,4.49687812236181e-46
"5","countryAngola",0.404666666671636,1.46324195844225,0.276554854333483,0.78215854578522
"6","countryArgentina",31.5815833333398,1.46324195844229,21.5832953334392,1.26512891339851e-90
"7","countryAustralia",37.1840833333388,1.46324195844225,25.412122116102,1.65575413858782e-119
"8","countryAustria",35.6244166666709,1.46324195844221,24.3462241231772,3.00909910815137e-111
"9","countryBahrain",28.1268333333387,1.46324195844225,19.2222709108767,4.46139027980777e-74
"10","countryBangladesh",12.3552500000053,1.46324195844225,8.4437504875534,6.92419251943309e-17
"11","countryBelgium",36.1629166666728,1.46324195844227,24.7142425475352,4.40537952129644e-114
"12","countryBenin",11.3010833333386,1.46324195844225,7.72331825788376,2.01285755275785e-14
"13","countryBolivia",15.0257500000052,1.46324195844225,10.2688075019401,5.53265942564906e-24
"14","countryBosnia and Herzegovina",30.2290000000053,1.46324195844225,20.6589209840503,5.13869134260666e-84
"15","countryBotswana",17.1186666666715,1.46324195844223,11.699135995865,2.28797901879648e-30
"16","countryBrazil",24.7606666666718,1.46324195844224,16.9217855760724,4.15340734022138e-59
"17","countryBulgaria",32.2649166666721,1.46324195844225,22.0502948815252,5.06121297551033e-94
"18","countryBurkina Faso",7.21516666667166,1.46324195844224,4.93094571614996,9.05579763056937e-07
"19","countryBurundi",7.33850000000551,1.46324195844226,5.01523343946339,5.90170499303695e-07
"20","countryCambodia",10.4239166666719,1.46324195844225,7.12385030140137,1.5967135231082e-12
"21","countryCameroon",10.6496666666721,1.46324195844225,7.27813100576316,5.3403954109731e-13
"22","countryCanada",37.423916666672,1.46324195844225,25.5760275672474,8.62508285917585e-121
"23","countryCentral African Republic",6.38808333333883,1.46324195844226,4.36570540947272,1.35042575744683e-05
"24","countryChad",9.29475000000502,1.46324195844222,6.35216202377103,2.77831078246817e-10
"25","countryChile",29.9520833333391,1.46324195844226,20.4696722647466,1.10628332245612e-82
"26","countryChina",24.3063066666723,1.46324195844226,16.611269603387,3.47657693594063e-57
"27","countryColombia",26.4189166666718,1.46324195844223,18.0550567964831,2.50502768981327e-66
"28","countryComoros",14.9029166666721,1.46324195844227,10.1848614856133,1.24635043069857e-23
"29","countryCongo, Dem. Rep.",7.06491666667177,1.46324195844223,4.82826276673551,1.51224060600063e-06
"30","countryCongo, Rep.",15.0230833333387,1.46324195844224,10.2669850646794,5.63141287305409e-24
"31","countryCosta Rica",32.7025833333382,1.46324195844223,22.3494023969579,3.22147489628482e-96
"32","countryCote d'Ivoire",10.9573333333387,1.46324195844225,7.48839470473067,1.1603264815602e-13
"33","countryCroatia",32.577083333339,1.46324195844226,22.2636339433705,1.37838099791201e-95
"34","countryCuba",33.5662500000057,1.46324195844226,22.9396442648075,1.34998510723269e-100
"35","countryCzech Republic",34.0316666666718,1.46324195844224,23.2577165179856,5.59661213303518e-103
"36","countryDenmark",36.89133333334,1.46324195844229,25.2120526755624,6.03590738803054e-118
"37","countryDjibouti",8.90191666667184,1.46324195844224,6.08369423478587,1.47455802555301e-09
"38","countryDominican Republic",24.0756666666722,1.46324195844225,16.4536470046982,3.2191011035074e-56
"39","countryEcuador",25.3380000000051,1.46324195844224,17.3163432430409,1.38144132317639e-61
"40","countryEgypt",18.7641666666717,1.46324195844222,12.8236936881226,7.28170359527794e-36
"41","countryEl Salvador",22.1545000000053,1.46324195844225,15.1406948606031,2.01009152586403e-48
"42","countryEquatorial Guinea",5.48116666667203,1.46324195844227,3.74590588729915,0.000186280335360287
"43","countryEritrea",8.5204166666721,1.46324195844223,5.82297180415939,7.00552964962941e-09
"44","countryEthiopia",6.99691666667193,1.46324195844225,4.78179061658454,1.90117227595296e-06
"45","countryFinland",35.513083333339,1.46324195844226,24.2701373675381,1.15370957544755e-110
"46","countryFrance",36.8700833333385,1.46324195844224,25.1975301286399,7.83259660168882e-118
"47","countryGabon",13.7416666666721,1.46324195844226,9.39124700968884,2.02465619549296e-20
"48","countryGambia",6.92175000000529,1.46324195844223,4.73042066629514,2.44282615254107e-06
"49","countryGermany",35.9655833333384,1.46324195844224,24.5793821902341,4.83992423653014e-113
"50","countryGhana",14.8618333333383,1.46324195844222,10.1567845615638,1.63325529898558e-23
"51","countryGreece",36.2543333333395,1.46324195844228,24.7767179748829,1.44863045449001e-114
"52","countryGuatemala",19.2505833333392,1.46324195844228,13.15611763473,1.44525720853388e-37
"53","countryGuinea",5.76100000000529,1.46324195844225,3.9371478973569,8.60844066844605e-05
"54","countryGuinea-Bissau",1.731416666672,1.46324195844224,1.18327434275822,0.23688061006085
"55","countryHaiti",12.6864166666719,1.46324195844224,8.67007441488203,1.06245532331112e-17
"56","countryHonduras",20.442000000005,1.46324195844223,13.9703484321674,7.02584137276234e-42
"57","countryHong Kong, China",36.0140000000049,1.46324195844223,24.6124708167509,2.68961547425515e-113
"58","countryHungary",31.9143333333389,1.46324195844226,21.8107013328912,2.83358101675929e-92
"59","countryIceland",39.032583333339,1.46324195844226,26.6754128448397,1.75713810650823e-129
"60","countryIndia",15.6872500000054,1.46324195844225,10.7208858449534,6.32604251907195e-26
"61","countryIndonesia",16.8569166666721,1.46324195844226,11.5202523884824,1.56949739383306e-29
"62","countryIran",21.1577500000048,1.46324195844222,14.4595019832055,1.44547095509349e-44
"63","countryIraq",19.1029166666723,1.46324195844226,13.0552001714117,4.79045288925962e-37
"64","countryIreland",35.538416666672,1.46324195844225,24.2874505215158,8.49883748432792e-111
"65","countryIsrael",36.1670000000056,1.46324195844226,24.7170331545908,4.19197969249828e-114
"66","countryItaly",36.5350000000053,1.46324195844225,24.9685294965845,4.72823260967606e-116
"67","countryJamaica",31.2705000000056,1.46324195844226,21.370696636731,4.32621107731867e-89
"68","countryJapan",37.3480833333383,1.46324195844224,25.5242020076426,2.19722897969136e-120
"69","countryJordan",22.3075833333392,1.46324195844227,15.2453141496074,5.00334072645904e-49
"70","countryKenya",15.2021666666715,1.46324195844222,10.3893731169764,1.70623787206378e-24
"71","countryKorea, Dem. Rep.",26.1285000000049,1.46324195844223,17.8565819885464,4.8477268614484e-65
"72","countryKorea, Rep.",27.5221666666728,1.46324195844228,18.8090332619849,2.67836567415226e-71
