"","continent","country","lifeExp","year"
"1","Asia","Afghanistan",28.801,1952
"2","Africa","Gambia",30,1952
"3","Africa","Angola",30.015,1952
"4","Africa","Sierra Leone",30.331,1952
"5","Africa","Mozambique",31.286,1952
"6","Africa","Burkina Faso",31.975,1952
"7","Africa","Guinea-Bissau",32.5,1952
"8","Asia","Yemen, Rep.",32.548,1952
"9","Africa","Somalia",32.978,1952
"10","Africa","Guinea",33.609,1952
"11","Africa","Mali",33.685,1952
"12","Africa","Ethiopia",34.078,1952
"13","Africa","Equatorial Guinea",34.482,1952
"14","Africa","Djibouti",34.812,1952
"15","Africa","Central African Republic",35.463,1952
"16","Africa","Eritrea",35.928,1952
"17","Asia","Nepal",36.157,1952
"18","Africa","Malawi",36.256,1952
"19","Asia","Myanmar",36.319,1952
"20","Africa","Nigeria",36.324,1952
"21","Africa","Madagascar",36.681,1952
"22","Africa","Gabon",37.003,1952
"23","Africa","Senegal",37.278,1952
"24","Asia","India",37.373,1952
"25","Africa","Niger",37.444,1952
"26","Asia","Indonesia",37.468,1952
"27","Asia","Bangladesh",37.484,1952
"28","Asia","Oman",37.578,1952
"29","Americas","Haiti",37.579,1952
"30","Africa","Chad",38.092,1952
"31","Africa","Benin",38.223,1952
"32","Africa","Liberia",38.48,1952
"33","Africa","Cameroon",38.523,1952
"34","Africa","Togo",38.596,1952
"35","Africa","Sudan",38.635,1952
"36","Africa","Burundi",39.031,1952
"37","Africa","Congo, Dem. Rep.",39.143,1952
"38","Asia","Cambodia",39.417,1952
"39","Asia","Saudi Arabia",39.875,1952
"40","Africa","Uganda",39.978,1952
"41","Africa","Rwanda",40,1952
"42","Asia","Vietnam",40.412,1952
"43","Americas","Bolivia",40.414,1952
"44","Africa","Cote d'Ivoire",40.477,1952
"45","Africa","Mauritania",40.543,1952
"46","Africa","Comoros",40.715,1952
"47","Africa","Tanzania",41.215,1952
"48","Africa","Swaziland",41.407,1952
"49","Africa","Namibia",41.725,1952
"50","Africa","Egypt",41.893,1952
"51","Americas","Honduras",41.912,1952
"52","Americas","Guatemala",42.023,1952
"53","Africa","Zambia",42.038,1952
"54","Africa","Congo, Rep.",42.111,1952
"55","Africa","Lesotho",42.138,1952
"56","Asia","Mongolia",42.244,1952
"57","Africa","Kenya",42.27,1952
"58","Americas","Nicaragua",42.314,1952
"59","Africa","Libya",42.723,1952
"60","Africa","Morocco",42.873,1952
"61","Africa","Algeria",43.077,1952
"62","Africa","Ghana",43.149,1952
"63","Asia","Jordan",43.158,1952
"64","Asia","West Bank and Gaza",43.16,1952
"65","Asia","Pakistan",43.436,1952
"66","Europe","Turkey",43.585,1952
"67","Americas","Peru",43.902,1952
"68","Asia","China",44,1952
"69","Africa","Tunisia",44.6,1952
"70","Asia","Iran",44.869,1952
"71","Africa","South Africa",45.009,1952
"72","Americas","El Salvador",45.262,1952
"73","Asia","Iraq",45.32,1952
"74","Asia","Syria",45.883,1952
"75","Americas","Dominican Republic",45.928,1952
"76","Africa","Sao Tome and Principe",46.471,1952
"77","Asia","Korea, Rep.",47.453,1952
"78","Africa","Botswana",47.622,1952
"79","Asia","Philippines",47.752,1952
"80","Americas","Ecuador",48.357,1952
"81","Africa","Zimbabwe",48.451,1952
"82","Asia","Malaysia",48.463,1952
"83","Asia","Korea, Dem. Rep.",50.056,1952
"84","Americas","Colombia",50.643,1952
"85","Americas","Mexico",50.789,1952
"86","Asia","Thailand",50.848,1952
"87","Americas","Brazil",50.917,1952
